"","x"
"2209",26020
"2210",513
"2211",4083
"2212",60
"2213",6486
"2214",5
"2215",26844
"2216",22789
"2217",4547
"2218",86154
"2219",15712
"2220",3648
"2221",2502
"2222",506176
"2223",189
"2224",1793
"2225",0
"2226",287407
"2227",442848
"2228",9249
"2229",30444
"2230",3
"2231",110703
"2232",617
"2233",52547
"2234",2913
"2235",10868
"2236",5479
"2237",121340
"2238",125366
"2239",7341
"2240",648
"2241",55827
"2242",16599
"2243",26450
"2244",49954
"2245",25778
"2246",1168
"2247",10096
"2248",60219
"2249",259704
"2250",8035
"2251",8394
"2252",2
"2253",430
"2254",9970
"2255",2720
"2256",41675
"2257",2088
"2258",192104
"2259",36513
"2260",1354
"2261",24268
"2262",20250
"2263",1026
"2264",1011850
"2265",207747
"2266",15138
"2267",40985
"2268",26489
"2269",5360
"2270",4
"2271",2494
"2272",8608
"2273",12836
"2274",5
"2275",2
"2276",40656
"2277",1304
"2278",50463
"2279",3959
"2280",18877
"2281",0
"2282",495
"2283",4
"2284",0
"2285",4
"2286",110
"2287",158
"2288",1010
"2289",1080
"2290",2
"2291",441
"2292",360
"2293",1173
"2294",165
"2295",10566
"2296",2166
"2297",403391
"2298",22722
"2299",62878
"2300",20729
"2301",601
"2302",23
"2303",3730
"2304",1555
"2305",1500
"2306",217
"2307",452
"2308",46
"2309",117
"2310",195
"2311",210
"2312",416733
"2313",595
"2314",1240
"2315",965
"2316",3426
"2317",248
"2318",38
"2319",2445
"2320",65
"2321",1245
